,timestamp,open,high,low,close,volume,trades,hma50,hma80,compra,venta,%
0,2020-12-30,0.19069,0.19389,0.17511,0.18389,670221026.8,0.0,,,,,
1,2020-12-31,0.18389,0.1864,0.17443,0.18134,447672619.8,0.0,,,,,
2,2021-01-01,0.18134,0.18473,0.17,0.17509,462201570.9,0.0,,,,,
3,2021-01-02,0.17505,0.18457,0.16793,0.17742,660303281.2,0.0,,,,,
4,2021-01-03,0.1774,0.2096,0.17255,0.20615,1201451449.3,0.0,,,,,
5,2021-01-04,0.20625,0.23992,0.19203,0.22528,1463415575.6,0.0,,,,,
6,2021-01-05,0.22518,0.26429,0.20696,0.25873,1478887679.33,0.0,,,,,
7,2021-01-06,0.25889,0.34772,0.25347,0.33309,2059110042.76,0.0,,,,,
8,2021-01-07,0.33311,0.3553,0.2785,0.29928,1411321698.55,0.0,,,,,
9,2021-01-08,0.29917,0.32165,0.26175,0.30389,1284205249.4,0.0,,,,,
10,2021-01-09,0.30392,0.33851,0.29583,0.33062,820267450.7,0.0,,,,,
11,2021-01-10,0.33062,0.3412,0.27948,0.30153,908667596.0,0.0,,,,,
12,2021-01-11,0.30154,0.30397,0.2288,0.2757,1530569582.3,0.0,,,,,
13,2021-01-12,0.27563,0.31442,0.2628,0.28888,1059013244.8,0.0,,,,,
14,2021-01-13,0.28875,0.31587,0.27,0.3123,715473111.9,0.0,,,,,
15,2021-01-14,0.31246,0.32455,0.29646,0.31201,656502674.0,0.0,,,,,
16,2021-01-15,0.31203,0.33225,0.27739,0.30188,853517402.8,0.0,,,,,
17,2021-01-16,0.30189,0.36696,0.30186,0.35071,1219589043.23,0.0,,,,,
18,2021-01-17,0.35057,0.3974,0.34076,0.38081,1422650839.29,0.0,,,,,
19,2021-01-18,0.38077,0.39724,0.36413,0.37123,636785470.4,0.0,,,,,
20,2021-01-19,0.37132,0.39001,0.362,0.3672,606641543.0,0.0,,,,,
21,2021-01-20,0.3672,0.3769,0.33033,0.37532,656351514.5,0.0,,,,,
22,2021-01-21,0.37548,0.37945,0.3,0.30785,785029729.8,0.0,,,,,
23,2021-01-22,0.30786,0.3598,0.28,0.34867,898752288.0,0.0,,,,,
24,2021-01-23,0.34842,0.35763,0.33541,0.34583,418300948.7,0.0,,,,,
25,2021-01-24,0.34575,0.36926,0.33613,0.35345,458536220.6,0.0,,,,,
26,2021-01-25,0.35346,0.36415,0.34034,0.34308,407390809.5,0.0,,,,,
27,2021-01-26,0.34284,0.35111,0.32404,0.3433,354428194.0,0.0,,,,,
28,2021-01-27,0.34342,0.34396,0.30404,0.31144,422544056.1,0.0,,,,,
29,2021-01-28,0.31142,0.35575,0.30431,0.34409,487709261.2,0.0,,,,,
30,2021-01-29,0.34409,0.36836,0.3305,0.34752,666472809.5,0.0,,,,,
31,2021-01-30,0.34764,0.37694,0.337,0.364,510716622.4,0.0,,,,,
32,2021-01-31,0.36395,0.37752,0.338,0.34475,399794774.9,0.0,,,,,
33,2021-02-01,0.34464,0.42411,0.33214,0.40876,844822325.13,0.0,,,,,
34,2021-02-02,0.40882,0.4559,0.38868,0.42498,1501769862.49,0.0,,,,,
35,2021-02-03,0.425,0.44961,0.41509,0.44189,541252929.4,0.0,,,,,
36,2021-02-04,0.44213,0.45,0.41003,0.43934,536142412.3,0.0,,,,,
37,2021-02-05,0.43903,0.56,0.43638,0.53917,1277155737.26,0.0,,,,,
38,2021-02-06,0.53874,0.66706,0.51901,0.63444,1255504052.74,0.0,,,,,
39,2021-02-07,0.63444,0.70888,0.58,0.66109,1596532267.5,0.0,,,,,
40,2021-02-08,0.66109,0.7238,0.63191,0.67638,1008667679.66,0.0,,,,,
41,2021-02-09,0.67674,0.71206,0.6624,0.70562,590482327.7,0.0,,,,,
42,2021-02-10,0.70562,0.95306,0.70555,0.93966,1693219939.33,0.0,,,,,
